,Unnamed: 0,Time,Unix Time,Trans_Id,Name,Acc Num,Merchant Name,Merchant Acc Name,Amount,Lat,Long,Is_Safe,Category
13,13,2024-01-05 12:00,1704436200,TID123463,Kiran,6543210987654321,Grocery Mart,Fresh Foods,75.5,41.8781,-87.6298,Yes,grocery
14,14,2024-01-07 15:30,1704621600,TID123502,Kiran,6543210987654321,Home Improvement,Home Comforts,120.0,41.8781,-87.6298,Yes,home
15,15,2024-01-09 09:45,1704773700,TID123475,Kiran,6543210987654321,Family Restaurant,Cozy Kitchen,40.0,41.8781,-87.6298,Yes,food_dining
16,16,2024-01-11 13:20,1704959400,TID123482,Kiran,6543210987654321,Electronics Store,Tech Junction,150.0,41.8781,-87.6298,Yes,kids_pets
17,17,2024-01-13 16:45,1705144500,TID123468,Kiran,6543210987654321,Children's Store,Kids Emporium,80.0,41.8781,-87.6298,Yes,kids_pets
18,18,2024-01-15 10:15,1705293900,TID123472,Kiran,6543210987654321,Pharmacy,Health Haven,30.5,41.8781,-87.6298,Yes,kids_pets
19,19,2024-01-17 14:30,1705482000,TID123489,Kiran,6543210987654321,Outdoor Recreation,Sport Haven,90.0,41.8781,-87.6298,Yes,kids_pets
20,20,2024-01-19 11:00,1705642200,TID123469,Kiran,6543210987654321,Clothing Store,Fashion Plaza,60.0,41.8781,-87.6298,Yes,shopping
21,21,2024-01-21 15:00,1705829400,TID123462,Kiran,6543210987654321,Local Cafe,Java Delight,15.0,41.8781,-87.6298,Yes,food_dining
22,22,2024-01-23 09:30,1705982400,TID123466,Kiran,6543210987654321,Home Appliance Store,Appliance Haven,200.0,41.8781,-87.6298,Yes,personal_care
